Section,Details
1. Project Name,BCARDI Token
2. Token Symbol,$BCRDI
3. Network,Cronos Blockchain
4. Contract Address,0xc7AdBbA52EA64B008a7e5d7666876628Dc391d69
5. Website,https://everlightventures.io
6. Total Supply,"100,000,000 $BCRDI"
7. Ownership Breakdown,"25M (25%) held by Rich CEO, 75M (75%) locked"
8. Locked Supply,"75,000,000 $BCRDI locked via DexPad Locker until 2035"
9. Burn Plan,Burn 10M tokens over 12 months (~833K/month)
10. Staking Strategy,"Stake 10M into PhotonSwap/Fulcrum, allocate 5M to staking pool, burn 5M gradually, hold 5M for OTC deals"
11. Presale Metrics,"Presale rate: 4 BCRDI/CRO, Soft Cap: 1500 CRO, Hard Cap: 3000 CRO, LP: 60%, PhotonSwap Listing Rate: 3.5 BCRDI/CRO"
12. Use Case / Purpose,"Fuel for decentralized logistics + meme-powered funding across Zilliqa, Cronos, and other chains"
13. Liquidity Plan,"60% of raised CRO is locked into PhotonSwap LP automatically, enabling trading post-presale"
14. Investor Benefits,"Early presale access, long-term value through burns, staking rewards, exclusive ecosystem features"
15. Roadmap Highlights,"Q2 2025: Presale & Launch
Q3 2025: Burn Program + LP Farming
Q4 2025: Zilliqa Expansion
2026: Logistics NFT Integration"